sample_id,word_index,word,reason,score
-3g5yACwYnA__13,6,or,vision_nearest_frame_fallback,0.8429000377655029
-3g5yACwYnA__13,8,least,low_ctc_score_review,0.03426385298371315
-3g5yACwYnA__2,1,Polymer,low_ctc_score_review,0.05296656861901283
-3g5yACwYnA__2,3,a,vision_nearest_frame_fallback,0.6981068253517151
-3g5yACwYnA__3,1,a,vision_nearest_frame_fallback,0.9766404628753662
-3g5yACwYnA__3,4,of,low_ctc_score_review,0.15902303159236908
-3g5yACwYnA__3,15,the,vision_nearest_frame_fallback,0.9461197257041931
-3g5yACwYnA__3,19,or,vision_nearest_frame_fallback,0.9821515083312988
-3g5yACwYnA__3,27,of,audio_nearest_frame_fallback,0.9397892951965332
-3g5yACwYnA__3,27,of,vision_nearest_frame_fallback,0.9397892951965332
-3g5yACwYnA__9,19,value-added,low_ctc_score_review,0.10077270120382309
-3g5yACwYnA__9,20,products.,low_ctc_score_review,0.05861033499240875
-3nNcZdcdvU__5,2,result,low_ctc_score_review,0.10214108973741531
-3nNcZdcdvU__5,3,in,vision_nearest_frame_fallback,0.9967275261878967
-571d8cVauQ__0,0,This,low_ctc_score_review,0.0819297581911087
-571d8cVauQ__0,2,Rhett,low_ctc_score_review,0.06840235739946365
-571d8cVauQ__0,9,of,vision_nearest_frame_fallback,0.9902743697166443
-571d8cVauQ__5,3,to,vision_nearest_frame_fallback,0.5149512887001038
-571d8cVauQ__5,28,a,audio_nearest_frame_fallback,0.5892941951751709
-571d8cVauQ__5,28,a,vision_nearest_frame_fallback,0.5892941951751709
-571d8cVauQ__5,31,on,vision_nearest_frame_fallback,0.9993898272514343
-571d8cVauQ__5,36,knows,low_ctc_score_review,0.1862359344959259
-571d8cVauQ__5,39,a,vision_nearest_frame_fallback,0.9906893968582153
-571d8cVauQ__5,42,spot.,low_ctc_score_review,0.032536230981349945
-6rXp3zJ3kc__8,9,a,audio_nearest_frame_fallback,0.9920327663421631
-6rXp3zJ3kc__8,19,a,audio_nearest_frame_fallback,0.9986681938171387
-6rXp3zJ3kc__8,19,a,vision_nearest_frame_fallback,0.9986681938171387
-6rXp3zJ3kc__8,21,of,vision_nearest_frame_fallback,0.9995113015174866
-6rXp3zJ3kc__8,28,on,vision_nearest_frame_fallback,0.9980010390281677
-9y-fZ3swSY__0,1,you,low_ctc_score_review,0.019897006452083588
-9y-fZ3swSY__0,2,can,low_ctc_score_review,0.1395854949951172
-9y-fZ3swSY__0,5,I,low_ctc_score_review,0.006108354777097702
-9y-fZ3swSY__0,5,I,audio_nearest_frame_fallback,0.006108354777097702
-9y-fZ3swSY__0,5,I,vision_nearest_frame_fallback,0.006108354777097702
-9y-fZ3swSY__0,11,are,low_ctc_score_review,0.002890958683565259
-9y-fZ3swSY__0,11,are,vision_nearest_frame_fallback,0.002890958683565259
-9y-fZ3swSY__4,2,this,low_ctc_score_review,0.06564254313707352
-9y-fZ3swSY__4,3,in,low_ctc_score_review,0.03694777935743332
-9y-fZ3swSY__4,8,US,low_ctc_score_review,0.007541473489254713
-9y-fZ3swSY__8,10,a,audio_nearest_frame_fallback,0.9933038353919983
-9y-fZ3swSY__8,10,a,vision_nearest_frame_fallback,0.9933038353919983
-9y-fZ3swSY__8,11,lady,low_ctc_score_review,0.030134014785289764
-AUZQgSxyPQ__2,4,to,vision_nearest_frame_fallback,0.9937971234321594
-AUZQgSxyPQ__2,17,containing,low_ctc_score_review,0.10973159223794937
-AUZQgSxyPQ__2,18,jojoba,low_ctc_score_review,0.05952485650777817
-AUZQgSxyPQ__2,23,and,low_ctc_score_review,0.001602309406735003
-AUZQgSxyPQ__2,40,cells.,low_ctc_score_review,0.122627854347229
-HeZS2-Prhc__2,0,The,low_ctc_score_review,0.0013047545216977596
-HeZS2-Prhc__2,7,it,audio_nearest_frame_fallback,0.9947605729103088
-HeZS2-Prhc__2,7,it,vision_nearest_frame_fallback,0.9947605729103088
-HeZS2-Prhc__2,11,as,audio_nearest_frame_fallback,0.6009418964385986
-HeZS2-Prhc__2,11,as,vision_nearest_frame_fallback,0.6009418964385986
-HwX2H8Z4hY__2,0,”,unsupported_characters_or_no_letters,
-HwX2H8Z4hY__2,1,[President,low_ctc_score_review,0.00010510315769352019
-HwX2H8Z4hY__2,2,Ronald,low_ctc_score_review,1.2197476280562114e-05
-HwX2H8Z4hY__2,3,Reagan:],low_ctc_score_review,0.0005374921602196991
-HwX2H8Z4hY__2,5,at,vision_nearest_frame_fallback,0.9968910217285156
-HwX2H8Z4hY__5,0,"""",unsupported_characters_or_no_letters,
-HwX2H8Z4hY__5,8,of,audio_nearest_frame_fallback,0.9993757605552673
-HwX2H8Z4hY__5,9,education,low_ctc_score_review,0.062247518450021744
-HwX2H8Z4hY__6,1,in,vision_nearest_frame_fallback,0.9992513656616211
-HwX2H8Z4hY__6,6,too,low_ctc_score_review,0.03366618603467941
-HwX2H8Z4hY__9,1,is,vision_nearest_frame_fallback,0.9876919984817505
-HwX2H8Z4hY__9,2,a,vision_nearest_frame_fallback,0.9468438029289246
-HwX2H8Z4hY__9,14,he,vision_nearest_frame_fallback,0.324992299079895
-HwX2H8Z4hY__9,17,that,low_ctc_score_review,0.031614039093256
