sample_id,text_coverage,audio_coverage,vision_coverage
附件3_01,1.0,1.0,1.0
附件3_02,0.8214285969734192,0.8214285969734192,0.8214285969734192
附件3_03,0.84375,0.84375,0.71875
附件3_04,0.9354838728904724,0.9354838728904724,0.9354838728904724
附件3_05,1.0,1.0,1.0
附件3_06,0.8799999952316284,0.8799999952316284,0.8799999952316284
附件3_07,0.8571428656578064,0.8571428656578064,0.8571428656578064
附件3_08,0.8666666746139526,0.8666666746139526,0.8666666746139526
附件3_09,0.8571428656578064,0.8571428656578064,0.8571428656578064
附件3_10,1.0,1.0,1.0
附件3_11,0.7142857313156128,0.7142857313156128,0.7142857313156128
附件3_12,0.8461538553237915,0.8461538553237915,0.8461538553237915
附件3_13,0.8947368264198303,0.8947368264198303,0.8947368264198303
附件3_14,0.9130434989929199,0.9130434989929199,0.9130434989929199
附件3_15,0.8888888955116272,0.8888888955116272,0.8888888955116272
附件3_16,0.8823529481887817,0.8823529481887817,0.8823529481887817
附件3_17,0.6363636255264282,0.6363636255264282,0.6363636255264282
附件3_18,0.8235294222831726,0.8235294222831726,0.8235294222831726
附件3_19,0.7083333134651184,0.7083333134651184,0.7083333134651184
附件3_20,0.7083333134651184,0.7083333134651184,0.7083333134651184
附件3_21,0.6666666865348816,0.6666666865348816,0.6666666865348816
附件3_22,0.7647058963775635,0.7647058963775635,0.7647058963775635
附件3_23,0.692307710647583,0.692307710647583,0.692307710647583
附件3_24,0.75,0.75,0.75
附件3_25,0.7777777910232544,0.7777777910232544,0.7777777910232544
附件3_26,0.7272727489471436,0.7272727489471436,0.7272727489471436
附件3_27,0.6190476417541504,0.6190476417541504,0.6190476417541504
附件3_28,0.6666666865348816,0.6666666865348816,0.6666666865348816
附件3_29,0.5555555820465088,0.5555555820465088,0.5555555820465088
附件3_30,0.5,0.5,0.5
